"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.71687500000E+009, -1.23275857402E+000, +0.00000000000E+000
+4.72875000000E+009, -1.21420044460E+000, +0.00000000000E+000
+4.74062500000E+009, -1.22742684835E+000, +0.00000000000E+000
+4.75250000000E+009, -1.24633747796E+000, +0.00000000000E+000
+4.76437500000E+009, -1.23830522600E+000, +0.00000000000E+000
+4.77625000000E+009, -1.25057076043E+000, +0.00000000000E+000
+4.78812500000E+009, -1.27398315905E+000, +0.00000000000E+000
+4.80000000000E+009, -1.28006873449E+000, +0.00000000000E+000
+4.81187500000E+009, -1.28092442858E+000, +0.00000000000E+000
+4.82375000000E+009, -1.28345584690E+000, +0.00000000000E+000
+4.83562500000E+009, -1.28795875123E+000, +0.00000000000E+000
+4.84750000000E+009, -1.27706190721E+000, +0.00000000000E+000
+4.85937500000E+009, -1.28146427271E+000, +0.00000000000E+000
+4.87125000000E+009, -1.28298834994E+000, +0.00000000000E+000
+4.88312500000E+009, -1.28560848416E+000, +0.00000000000E+000
+4.89500000000E+009, -1.27869965256E+000, +0.00000000000E+000
+4.90687500000E+009, -1.27106981454E+000, +0.00000000000E+000
+4.91875000000E+009, -1.26235857151E+000, +0.00000000000E+000
+4.93062500000E+009, -1.27264336434E+000, +0.00000000000E+000
+4.94250000000E+009, -1.27913799735E+000, +0.00000000000E+000
+4.95437500000E+009, -1.29057127445E+000, +0.00000000000E+000
+4.96625000000E+009, -1.30040270164E+000, +0.00000000000E+000
+4.97812500000E+009, -1.31933809011E+000, +0.00000000000E+000
+4.99000000000E+009, -1.30717106176E+000, +0.00000000000E+000
+5.00187500000E+009, -1.29180780219E+000, +0.00000000000E+000
+5.01375000000E+009, -1.29648379604E+000, +0.00000000000E+000
+5.02562500000E+009, -1.28407247505E+000, +0.00000000000E+000
+5.03750000000E+009, -1.27869866793E+000, +0.00000000000E+000
+5.04937500000E+009, -1.25773193617E+000, +0.00000000000E+000
+5.06125000000E+009, -1.25452956202E+000, +0.00000000000E+000
+5.07312500000E+009, -1.25930739822E+000, +0.00000000000E+000
+5.08500000000E+009, -1.26088710081E+000, +0.00000000000E+000
+5.09687500000E+009, -1.26053641870E+000, +0.00000000000E+000
+5.10875000000E+009, -1.26826425765E+000, +0.00000000000E+000
+5.12062500000E+009, -1.28232746152E+000, +0.00000000000E+000
+5.13250000000E+009, -1.30378218206E+000, +0.00000000000E+000
+5.14437500000E+009, -1.30572310170E+000, +0.00000000000E+000
+5.15625000000E+009, -1.33564443071E+000, +0.00000000000E+000
+5.16812500000E+009, -1.33497997844E+000, +0.00000000000E+000
+5.18000000000E+009, -1.35384574515E+000, +0.00000000000E+000
+5.19187500000E+009, -1.36276994877E+000, +0.00000000000E+000
+5.20375000000E+009, -1.36727557288E+000, +0.00000000000E+000
+5.21562500000E+009, -1.38394739281E+000, +0.00000000000E+000
+5.22750000000E+009, -1.38960602065E+000, +0.00000000000E+000
+5.23937500000E+009, -1.40935164348E+000, +0.00000000000E+000
+5.25125000000E+009, -1.42316118497E+000, +0.00000000000E+000
+5.26312500000E+009, -1.44159351068E+000, +0.00000000000E+000
+5.27500000000E+009, -1.44067549293E+000, +0.00000000000E+000
+5.28687500000E+009, -1.43903250844E+000, +0.00000000000E+000
+5.29875000000E+009, -1.44053024130E+000, +0.00000000000E+000
+5.31062500000E+009, -1.41990062975E+000, +0.00000000000E+000
+5.32250000000E+009, -1.40540841126E+000, +0.00000000000E+000
+5.33437500000E+009, -1.38750421862E+000, +0.00000000000E+000
+5.34625000000E+009, -1.36469736551E+000, +0.00000000000E+000
+5.35812500000E+009, -1.34194611295E+000, +0.00000000000E+000
+5.37000000000E+009, -1.32074063318E+000, +0.00000000000E+000
+5.38187500000E+009, -1.31050912420E+000, +0.00000000000E+000
+5.39375000000E+009, -1.31414130953E+000, +0.00000000000E+000
+5.40562500000E+009, -1.32412229209E+000, +0.00000000000E+000
+5.41750000000E+009, -1.32943725048E+000, +0.00000000000E+000
+5.42937500000E+009, -1.33837446008E+000, +0.00000000000E+000
+5.44125000000E+009, -1.36680532601E+000, +0.00000000000E+000
+5.45312500000E+009, -1.39122545160E+000, +0.00000000000E+000
+5.46500000000E+009, -1.40848404598E+000, +0.00000000000E+000
+5.47687500000E+009, -1.41393155450E+000, +0.00000000000E+000
+5.48875000000E+009, -1.42736095083E+000, +0.00000000000E+000
+5.50062500000E+009, -1.44390171800E+000, +0.00000000000E+000
+5.51250000000E+009, -1.44185574271E+000, +0.00000000000E+000
+5.52437500000E+009, -1.44406393550E+000, +0.00000000000E+000
+5.53625000000E+009, -1.45023836381E+000, +0.00000000000E+000
+5.54812500000E+009, -1.45989306129E+000, +0.00000000000E+000
+5.56000000000E+009, -1.47127918768E+000, +0.00000000000E+000
+5.57187500000E+009, -1.47623735769E+000, +0.00000000000E+000
+5.58375000000E+009, -1.47185820079E+000, +0.00000000000E+000
+5.59562500000E+009, -1.48055438774E+000, +0.00000000000E+000
+5.60750000000E+009, -1.48189753808E+000, +0.00000000000E+000
+5.61937500000E+009, -1.47638872829E+000, +0.00000000000E+000
+5.63125000000E+009, -1.46429440777E+000, +0.00000000000E+000
+5.64312500000E+009, -1.45857335345E+000, +0.00000000000E+000
+5.65500000000E+009, -1.43709007621E+000, +0.00000000000E+000
+5.66687500000E+009, -1.43225457297E+000, +0.00000000000E+000
+5.67875000000E+009, -1.41666140408E+000, +0.00000000000E+000
+5.69062500000E+009, -1.41766901230E+000, +0.00000000000E+000
+5.70250000000E+009, -1.40155441002E+000, +0.00000000000E+000
+5.71437500000E+009, -1.40262687627E+000, +0.00000000000E+000
+5.72625000000E+009, -1.39743610103E+000, +0.00000000000E+000
+5.73812500000E+009, -1.39690596115E+000, +0.00000000000E+000
+5.75000000000E+009, -1.42093467096E+000, +0.00000000000E+000
+5.76187500000E+009, -1.42108845287E+000, +0.00000000000E+000
+5.77375000000E+009, -1.41967223119E+000, +0.00000000000E+000
+5.78562500000E+009, -1.42205691727E+000, +0.00000000000E+000
+5.79750000000E+009, -1.43895356074E+000, +0.00000000000E+000
+5.80937500000E+009, -1.43373280441E+000, +0.00000000000E+000
+5.82125000000E+009, -1.44100477277E+000, +0.00000000000E+000
+5.83312500000E+009, -1.43484000609E+000, +0.00000000000E+000
+5.84500000000E+009, -1.44052427204E+000, +0.00000000000E+000
+5.85687500000E+009, -1.43690951958E+000, +0.00000000000E+000
+5.86875000000E+009, -1.45896484315E+000, +0.00000000000E+000
+5.88062500000E+009, -1.45941543067E+000, +0.00000000000E+000
+5.89250000000E+009, -1.47581420923E+000, +0.00000000000E+000
+5.90437500000E+009, -1.48895609619E+000, +0.00000000000E+000
+5.91625000000E+009, -1.50294109666E+000, +0.00000000000E+000
+5.92812500000E+009, -1.53168708096E+000, +0.00000000000E+000
+5.94000000000E+009, -1.54099402079E+000, +0.00000000000E+000
+5.95187500000E+009, -1.54531556551E+000, +0.00000000000E+000
