"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.78562500000E+009, -7.65148619182E-001, +0.00000000000E+000
+5.79750000000E+009, -7.79773565313E-001, +0.00000000000E+000
+5.80937500000E+009, -7.70966617723E-001, +0.00000000000E+000
+5.82125000000E+009, -7.73506359551E-001, +0.00000000000E+000
+5.83312500000E+009, -7.71318483919E-001, +0.00000000000E+000
+5.84500000000E+009, -7.72227734948E-001, +0.00000000000E+000
+5.85687500000E+009, -7.79004384436E-001, +0.00000000000E+000
+5.86875000000E+009, -7.83235304459E-001, +0.00000000000E+000
+5.88062500000E+009, -7.86021995161E-001, +0.00000000000E+000
+5.89250000000E+009, -7.89411444496E-001, +0.00000000000E+000
+5.90437500000E+009, -7.81818416949E-001, +0.00000000000E+000
+5.91625000000E+009, -7.85898574830E-001, +0.00000000000E+000
+5.92812500000E+009, -7.87767052746E-001, +0.00000000000E+000
+5.94000000000E+009, -7.90406919112E-001, +0.00000000000E+000
+5.95187500000E+009, -7.88236564320E-001, +0.00000000000E+000
